nama,alamat,deskripsi,kategori
Prima Sejati Sejahtera,DUKUH BUTUH RT.01/RW.02,,Swasta Kecil
Perusahaan Perseroan (Persero) Bank Negara Indonesia,"Jl. Dr. Mansyur, No. 11",,Negeri
Perusahaan Perseroan (Persero) Bank Negara Indonesia,Jl. asia afrika no 119,,Negeri
Perusahaan Perseroan (Persero) Bank Negara Indonesia,JL. Sutoyo S No. 11 Sampit,,Negeri
One-Ject Indonesia,Jalan Anggrek VII Kav 41 Kawasan Industri Terpadu Indonesia China (KITIC),,Swasta Kecil
Feducation Mitra Mediatama,"Golden Office Durian Jl. Durian No.139, RT.4/RW.4, Jagakarsa, Kec. Jagakarsa, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12620",,Swasta Kecil
PT Surveyor Indonesia,Jl. Jendral Gatot Subroto Kav. 56,,Swasta Besar
Jelajah Data Semesta,Ruko Mega Grosir Cempaka Mas Blok A/29,,Swasta Kecil
Perusahaan Perseroan (Persero) Bank Negara Indonesia,"Rukan Exclusive Mediterania Blok C No 06-07 Kamal Muara,Penjaringan, Jakarta Utara",,Negeri
PT Aeon Indonesia,"Gedung DP Mall Semarang, Lt. Lower Ground-01, Jl. Pemuda No. 150",,Swasta Besar
Surya Citra Televisi,Gedung SCTV Tower Senayan City Jalan Asia Afrika Lot 19,,Swasta Kecil
Feducation Digital Indonesia,"18 Office Park Building, 21th Floor Unit C, Jalan TB Simatupang No.18",,Swasta Kecil
Trans Digital Media,"GEDUNG TRANS MEDIA LANTAI 8-9, JALAN KAPTEN PIERRE TENDEAN KAVLING 12-14A",,Swasta Kecil
PT Ramayana Lestari Sentosa,Jl diponegoro no 103 kelurahan daun purih denpasar barat,,Swasta Kecil
Sekarnusa Kreasi Indonesia,"JL. Raya Solo-Boyolali Km 14,7, Batan, Banyudono, Boyolali",,Swasta Kecil
Bionic Natura,"JL. RAYA GATOT SUBROTO KM. 8, KADU JAYA, TANGERANG",,Swasta Kecil
CV Grand Sehat,"Jalan Sei Batanghari No.15B
Kel : Sei sikambing B
Kec : Medan Sunggal",,Swasta Kecil
Javan Cipta Solusi,PERUM SUKOHARJO INDAH J100,,Swasta Kecil
Perusahaan Perseroan (Persero) PT. Bank Mandiri,"Jl. Jenderal Gatot Subroto Kav.36-38, Kelurahan Senayan, Kecamatan Kebayoran Baru, Jakarta Selatan",,Swasta Besar
PT Sinar Rajawali,"Jl Rajawali Selatan Raya no 1-B Gunung Sahari Utara, Kelurahan Gunung Sahari Utara, Kecamatan Sawah Besar, Jakarta Pusat",,Swasta Kecil
PT Kapuas Cemerlang Maju,Jl Industri Raya no 8 Gunung Sahari Jakarta Pusat,,Swasta Besar
Lpp Agro Nusantara,JL. URIP SUMOHARJO 100,,Swasta Kecil
Karya Mitra Pratama,"JL Manggis Nomor 6, Gempol , Condong Catur, Depok, Sleman, Yogyakarta",,Swasta Kecil
Perusahaan Perseroan (Persero) Bank Negara Indonesia,Jalan MT Haryono Nomor 10 - 12,,Negeri
Asosiasi Profesi Pendamping Entrepreneur Indonesia,Nglebeng,,Swasta Kecil
Perusahaan Perseroan (Persero) Bank Negara Indonesia,Jalan pemuda selatan No 49,,Negeri
Perusahaan Perseroan (Persero) Bank Negara Indonesia,Universitas Indonesia Depok,,Negeri
Anugerah Tangkas Transportindo,"Taman Palem Lestari Ruko Galaxy Blok O No. 1 RT/RW. 013/008 Kel. Cengkareng Barat, Kec. Cengkareng , Jakarta Barat.",,Swasta Kecil
Eduvokasi Solusi Negeri,"Shila At Sawangan, Cluster the Grove H-10",,Swasta Kecil
Elang Muda Tepi Barat,Jl. Lintas Sumatera KM 13,,Swasta Kecil
Perusahaan Perseroan (Persero) Bank Negara Indonesia,JL KENANGA NO.7 - 9,,Negeri
Perusahaan Perseroan (Persero) Bank Negara Indonesia,Jalan Yos Sudarso No 129,,Negeri
Perusahaan Perseroan (Persero) Bank Negara Indonesia,Jl. A.Yani No.01,,Negeri
Hayaa Investama Group,"Jln. Ir H Juanda Nomor 185. Simpang III Sipin, Kecamatan Kota Baru Kota Jambi, Jambi",,Swasta Kecil
PT. Buana Centra Swakarsa,"JL. RAYA MERAK KM.115, KEL. RAWAARUM, KEC. GEROGOL",,Swasta Kecil
PT. Bank Negara Indonesia (Persero) Tbk Kantor Cabang Sungai Penuh,Jl. A Yani No. 16 Kel. Pasar Sungai Penuh Kec. Sungai Penuh Kota Sungai Penuh Provinsi Jambi,,Negeri
PT Aeon Indonesia,"Mall @ Alam Sutera, Jl. Jalur Sutera Barat, Kav 16, Kel. Panunggangan Timur, Kec. Pinang, Kota Tangerang, 15413, Banten.",,Swasta Besar
Rangkayo Basa,JL.HANG TUAH NO.211,,Swasta Kecil
Perusahaan Perseroan (Persero) Bank Negara Indonesia,Jl. Lada No.1,,Negeri
CV. Rumah Mesin,"Jl. Parangtritis No.Km 5, RW.6, Tarudan, Bangunharjo, Kec. Sewon, Kabupaten Bantul, Daerah Istimewa Yogyakarta",,Negeri
Selaras Inti Semesta,"Gedung Kyai Maja 4 Basement, Jalan Kyai Maja No. 4",,Swasta Kecil
Binatara Persada,Jalan Siliwangi,,Swasta Kecil
Perusahaan Perseroan (Persero) Bank Negara Indonesia,Jl Yos Sudarso No. 3,,Negeri
Klick Digital,JL AFFANDI NO 1 MRICAN,,Swasta Kecil
Sharp Electronics Indonesia,Jl. Soekarno-Hatta KM. 4 Way Gubak,,Swasta Kecil
Digital Karya Nusantara,JALAN PERUMNAS NOMOR 236,,Swasta Kecil
Polychem Indonesia,"Gedung Wisma 46 Kota BNI Lt. 20, Jl. Jend. Sudirman Kav 1",,Swasta Kecil
Perusahaan Perseroan (Persero) Bank Negara Indonesia,"JL. Malahasa No.1 Kelurahan Soataloara II, Kecamatan Tahuna, Kabupaten Kepulauan Sangihe, Sulawesi Utara",,Negeri
Perusahaan Perseroan (Persero) Bank Negara Indonesia,Jl. Imam Bonjol No. 10,,Negeri
Bhineka Rahsa Nusantara,"Jalan Cisitu Indah VI D8 - D9, Kampung Padi, Kota Bandung",,Swasta Kecil
Perusahaan Perseroan (Persero) Bank Negara Indonesia,Jl. Teuku Umar No. 630 Tanjung Pinang,,Negeri
Perusahaan Perseroan (Persero) PT. Telekomunikasi Indonesia,"Jl. Raya Puputan Renon, No. 25, Renon, Denpasar Selatan",,Swasta Besar
Siap Cetak Inspiration,Jalan Majapahit No.59 RT.08 Sunten,,Swasta Kecil
"PT. Bank Cimb Niaga, Tbk","JL. BINTARO UTAMA BLOK E 15-16 BINTARO JAYA SEKTOR I, KEL. BINTARO, KEC. PESANGGRAHAN, JAKARTA SELATAN.",,Swasta Besar
Perusahaan Perseroan (Persero) Bank Negara Indonesia,Jl Raya Puputan No 27,,Negeri
Perusahaan Perseroan (Persero) Bank Negara Indonesia,Jalan Raya Tomohon,,Negeri
Perusahaan Perseroan (Persero) Bank Negara Indonesia,Jl. Samping Stasiun No.1,,Negeri
Dharma Polimetal,"Delta Silicon I, Jl. Angsana Raya Blok A9 no. 8, Kawasan Industri Lippo Cikarang",,Swasta Kecil
Dua Empat Tujuh,"Jl. Cantel GK.IV/352 RT 53 RW 14 Baciro, Gondokusuman, Yogyakarta",,Swasta Kecil
Sinar Nusantara Industries,JL. A. YANI KM. 31 DESA LIANG ANGGANG KECAMATAN BATI BATI KABUPATEN TANAH LAUT PROVINSI KALIMANTAN SELATAN,,Negeri
Telkom Satelit Indonesia,"Telkom Landmark Tower 2, Lantai 21, Jl Jenderal Gatot Subroto Kaveling 52",,Swasta Kecil
Shelter Indonesia Gemilang,Jalan Semampir Selatan V A Nomor 18,,Swasta Kecil
Perusahaan Perseroan (Persero) Bank Negara Indonesia,Jl. P.Sebatik No.1 Samarinda,,Negeri
Pancaprima Ekabrothers,JL. RAYA SILIWANGI 178A KELURAHAN ALAM JAYA -  KEC. JATI UWUNG - KOTA TANGERANG,,Swasta Kecil
Perusahaan Perseroan (Persero) Bank Negara Indonesia,Jl Merdeka No 45,,Negeri
Qia Solution,"JL. MUSTIKA NO 18, JATINEGARA, JAKARTA TIMUR",,Swasta Kecil
Perusahaan Perseroan (Persero) Bank Negara Indonesia,Jl. Jend Sudirman No.58,,Negeri
Aarya Kinari Tirta,"COMMERCIAL PARK CBD BSD LOT VIII NO. 3,",,Swasta Kecil
Perusahaan Perseroan (Persero) Bank Negara Indonesia,Jl. Pahlawan Revolusi no. 12,,Negeri
PT Aeon Indonesia,"AEON Store Deltamas. Jl. Ganesha Boulevard, Desa/Kelurahan Hegarmukti, Kec.Cikarang Pusat, Kab. Bekasi,Provinsi Jawa Barat, Kode Pos: 17531",,Negeri
PT. Bank Negara Indonesia (Persero) Tbk. Kantor Cabang Parepare,JL. VETERAN NO. 41 PAREPARE,,Negeri
PT Mandom Indonesia Tbk-Head Office,"WISMA 46 KOTA BNI, Suite 7.01, 7th Floor
JALAN JENDRAL SUDIRMAN KAV.1, JAKARTA.10220",,Swasta Besar
Mahkota Mas Pratama,DESA SAWAHAN RT.06 RW.01 SAWAHAN NGEMPLAK BOYOLALI,,Swasta Kecil
Tekadkan Mimpi Indonesia,"Blok G No 16, Palm Asri 2, Pedagangan, Kec. Dukuhwaru Kab. Tegal. 52451",,Swasta Kecil
Indo Trans Teknologi,"Menara 165, 6th Floor
Jl. TB Simatupang Kav 1. Cilandak",,Swasta Kecil
Nayaka Pratama,"KOMPLEK RUKAN TAMAN PONDOK KELAPA, BLOK F NO. 1, JL. RAYA PONDOK KELAPA",,Swasta Kecil
Reksa Madani,JL. DEWI SARTIKA NO. 290,,Swasta Kecil
PT. Sanken Argadwija,Jl. Veteran Desa Cukanggalih Kecamatan Cukanggalih Kabupaten Tangerang Propinsi Banten,,Negeri
Bni Kantor Cabang Bengkulu38,Jl S Parman No 34 Bengkulu,,Swasta Kecil
Global Digital Niaga,"Gedung Sarana Jaya, Jalan Budi Kemuliaan I Nomor 1",,Swasta Kecil
Ramayana Lestari Sentosa,"Ramayana Bontang, Jl. Mulawarman RT. 16 Kel. Bontang Baru, Kec. Bontang Utara,",,Swasta Kecil
Ramayana Lestari Sentosa,"JALAN LET. JEND SUTOYO, WARU, KAB. SIDOARJO",,Swasta Kecil
Mata Raung Indonesia,Jalan H. Arifin,,Swasta Kecil
Adhi Commuter Properti,"Jl. Iskandarsyah Raya No.65, Melawai, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12160",,Swasta Kecil
Alfath Corp Indonesia,Jalan Mertojoyo Selatan Blok C-4 No. 1,,Swasta Kecil
Wisma Nusantara International (Pullman Jakarta Indonesia),Jl. M.H. Thamrin No.59 Jakarta Pusat,,Swasta Kecil
Perusahaan Perseroan (Persero) Bank Negara Indonesia,Jl. Sultan Ageng Tirtayasa No.25 Cilegon Banten,,Negeri
Bangun Kelola Swadaya,"Komplek Ruko Cipulir Mas Blok A No. 2 dan No. 3, Jl. Ciledug Raya No. 18,",,Swasta Kecil
Astra Juoku Indonesia,"KAWASAN INDUSTRI MITRA KARAWANG, JL. MITRA TIMUR II BLLOK D. NO.4,5,6,51,52,53",,Swasta Kecil
PT Bank Negara Indonesia (Persero) Tbk Kantor Cabang Surakarta,Jl Arifin No 2 Surakarta,,Negeri
PT Trans Retail Indonesia,"Jl. Jenderal Ahmad Yani No.83, RT.10/RW.7, Cemp. Putih Tim., Kec. Cemp. Putih, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10510",,Swasta Besar
Perusahaan Perseroan (Persero) PT. Len Industri,JL. SOEKARNO  HATTA  NO. 442,,Swasta Besar
Perusahaan Perseroan (Persero) Bank Negara Indonesia,Jl. Veteran No. 31,,Negeri
Perusahaan Perseroan (Persero) Bank Negara Indonesia,Jl. DR. Sam Ratulangi Caile Ujung Bulu Kabupaten Bulukumba,,Negeri
Unit Pelaksana Teknis Balai Yasa Yogyakarta,Jl. Koesbini No. 1 Yogyakarta,,Swasta Kecil
Perusahaan Perseroan (Persero) Bank Negara Indonesia,Jl. Daan Mogot No 234 Jakarta Barat,,Negeri
Perusahaan Perseroan (Persero) PT Agrinas Pangan Nusantara,"JL. D.I. PANJAITAN KAV. 8, RT.004, RW.011",,Swasta Kecil
Perusahaan Perseroan (Persero) Bank Negara Indonesia,Jl dr sam ratulangi no 50-52,,Negeri
Afbe Cahaya Kreatif,"Jalan Raya Blimbing Nomor 64, Desa/Kelurahan Blimbing, Kec. Gudo,
Kab. Jombang, Provinsi Jawa Timur",,Negeri
Perusahaan Perseroan (Persero) Bank Negara Indonesia,Jl. Ahmad Yani Nomor 233,,Negeri
Consulindo Inti Prima,Jl. Nusa Indah Raya No. 51,,Swasta Kecil
Mahakarya Maritim Indonesia,"Griya d'Ros, Jalan Tebet Utara Dalam Nomor 34,	Desa/Kelurahan Tebet Timur,	Kec.	Tebet, Kota Adm. Jakarta	Selatan, Provinsi DKI Jakarta, Kode Pos: 12820",,Negeri
PERUSAHAAN PERSEROAN (PERSERO) PT. PELAYARAN NASIONAL INDONESIA,"Jl. Gajah Mada No.14, RT.6/RW.2, Petojo Utara, Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta",,Swasta Besar
Techno Kreatif Solusindo,JL. YUSUF ARIF NO. 21,,Swasta Kecil
Suri Nusantara Jaya,GRAHA KOMANDO LT. 3JL. CIPINANG INDAH RAYA NO. 1,,Swasta Kecil
Perusahaan Perseroan (Persero) Bank Negara Indonesia,Jl. Perintis Kemerdekaan No. 3 / Jl. Babakan Ciamis,,Negeri
Perusahaan Perseroan (Persero) Bank Negara Indonesia,JL. HOS COKROAMINOTO NO. 74,,Negeri
PT Git Solution,"Grha Universitas AMIKO gd.1 lt.2, Jl. Ringroad Utara, Condongcatur, Depok, Sleman, Yogyakarta",,Swasta Kecil
Konsulta Semen Gresik,Jl. Wachid Blok D No. 1-3 Perumahan Tubanan,,Swasta Kecil
Perusahaan Perseroan (Persero) Bank Negara Indonesia,Jl. Soekarno - Hatta No.86,,Negeri
Hotel Sahid Jaya International,"JL. JEND. SUDIRMAN KAV.86, KARET TENGSIN, TANAH ABANG",,Swasta Kecil
Perusahaan Perseroan (Persero) PT. Telekomunikasi Indonesia,Gatot Soebroto Kav 52,,Swasta Besar
Jvckenwood Electronics Indonesia,"Jl. Surya Lestari Kav. I-16B, Suryacipta City of Industry, Desa Kutamekar, Kec. Ciampel,
Kab. Karawang, Provinsi Jawa Barat Kode Pos 41363",,Negeri
Dua Ribu Satu Pangripta,Jl. Purnawarman No. 45,,Swasta Kecil
Sri Indah Bangun Perkasa,JL.PENUIN BLOK AA/01,,Swasta Kecil
"PT. Bank Mega, Tbk","Menara Bank Mega Jl Kapten P Tendean No 12-14A,Kel. mampang prapatan, kec mampang prapatan, Kota Adm Jakarta Selatan, DKI Jakarta",,Swasta Besar
PT. Millennium Sirih Jakarta Hotel,Jl. Fachrudin No. 3 Jakarta Pusat,,Swasta Kecil
Pertamina Hulu Energi,JL. TB. SIMATUPANG KAV. 99,,Swasta Kecil
Pertamina Geothermal Energy,"GRHA PERTAMINA - TOWER PERTAMAX LANTAI 7, JL. MERDEKA TIMUR NO 11-13. GAMBIR, JAKARTA",,Swasta Kecil
Ara Medica Utama,"Jl. Pahlawan, Kp. Baru.",,Swasta Kecil
Dana Purna Investama,JL.Tanah Abang I No. 27 A Jakarta Pusat,,Swasta Kecil
PERUSAHAAN PERSEROAN (PERSERO) PT PELABUHAN INDONESIA DISINGKAT PT PELABUHAN INDONESIA (PERSERO),JL. Raya Yos Sudarso No.9,,Swasta Besar
PT Aeon Indonesia,JL. TANJUNG BARAT RAYA NO. 163 RT 012 RW 004 TANJUNG BARAT JAGAKARSA KOTA ADM JAKARTA SELATAN DKI JAKARTA,,Swasta Besar
Upaya Sarana Kosala,"JL. HR.RASUNA SAID KAV.C-21, KARET KUNINGAN",,Swasta Kecil
Panasonic Gobel Life Solutions Sales Indonesia,"GEDUNG SUMMITMAS I LT.8, JL. JEND. SUDIRMAN KAV.61-62",,Swasta Kecil
Perusahaan Perseroan (Persero) Bank Negara Indonesia,Jl Menteng Raya no 76,,Negeri
Mustika Ratu,"GRAHA MUSTIKA RATU, JL. GATOT SUBROTO KAV.74-75",,Swasta Kecil
Perusahaan Perseroan (Persero) Bank Negara Indonesia,Jalan Jendral Sudirman No 132,,Negeri
Mitra Pengusaha Indonesia,Ruko Semarang Indah Blok C8 No 25 & 25a,,Swasta Kecil
Perusahaan Perseroan (Persero) Bank Negara Indonesia,"Jl. Ir. H. Djuanda No. 52, Kelurahan Paledang, Kecamatan Bogor Tengah, Kota Bogor",,Negeri
PT. Wisata Surya Timur,"Jl. Manggis No. 88, Libuo, Dungingi, Gorontalo",,Swasta Kecil
Perusahaan Perseroan (Persero) Bank Negara Indonesia,Jl. Gereja No. 20 Tanjung Balai Asahan,,Negeri
PT Aeon Indonesia,"Pakuwon Mall Bekasi
Jl. Ahmad Yani, RT. 001 RW. 002",,Swasta Besar
Semen Padang,"JL. RAYA INDARUNG, LUBUK KILANGAN - INDARUNG, PADANG",,Swasta Kecil
Sinergi Impact Indonesia,THE BELLEZA SHOPPING ARCADE UNIT SA 19-20. JL. ARTERI PERMATA HIJAU NO. 34,,Swasta Kecil
PT Global Sukses Solusi Tbk,JL.  PAKUNINGRATAN NO.15,,Swasta Kecil
Perusahaan Perseroan (Persero) Bank Negara Indonesia,Jl. Pecenongan Raya No.52,,Negeri
Perkebunan Nusantara I,"Gedung Agro Plaza, Jalan HR. Rasuna Said Kavling X2 Nomor 1, Rukun Tetangga (RT) 007, Rukun Warga (RW) 004, Kelurahan Kuningan Timur, Kecamatan Setiabudi, Kota Jakarta Selatan, Provinsi Daerah Khusus Ibukota (DKI) Jakarta, 12950",,Negeri
Perusahaan Perseroan (Persero) Bank Negara Indonesia,Jl. Otto Iskandardinata No 11,,Negeri
Lembaga Kursus Dan Pelatihan Bintang,Jalan Raya Karangreja No. 2 RT 004 RW 002 Desa Karangreja Kecamatan Karangreja Kabupaten Purbalingga Jawa Tengah 53357,,Negeri
Perusahaan Perseroan (Persero) Bank Negara Indonesia,Jalan Jendral Sudirman No. 119 Pekanbaru,,Negeri
Perusahaan Perseroan (Persero) Bank Negara Indonesia,JL Panglima Sudirman No 43,,Negeri
Perusahaan Perseroan (Persero) Bank Negara Indonesia,Jalan Pejompongan Raya No. 7,,Negeri
Perusahaan Perseroan (Persero) Bank Negara Indonesia,"Jln. Jenderal Sudirman, Kav 1",,Negeri
Kebun Bumi Lestari,JL. CINDE BARAT NO. 13,,Swasta Kecil
PT. Sarana Tirta Abadi,jl. Taman arjuna I no 7,,Swasta Kecil
Mitra Talenta Grup,"THE MANHATTAN SQUARE BUILDING MID TOWER LANTAI 12 UNIT C-F, JALAN TB. SIMATUPANG KAV. 1S",,Swasta Kecil
Perusahaan Perseroan (Persero) PT Biro Klasifikasi Indonesia,Jalan Yos Sudarso Nomor 38-40,,Swasta Besar
Puri Laju Abba,JL.IR.SUTAMI III,,Swasta Kecil
Natural Aceh Corp,JL TGK ADEE II NO. 8,,Swasta Kecil
Kolaborasi Edukasi Nusantara,Jl. Aditiawarman II No.3,,Swasta Kecil
Perusahaan Perseroan (Persero) Bank Negara Indonesia,Jl. Perintis Kemerdekaan No. 15 Bukittinggi,,Negeri
Perusahaan Perseroan (Persero) Bank Negara Indonesia,Jl Jend. Sudirman,,Negeri
Karya Mandiri Citramina,"JL.CUMI RAYA NO.5 KAWASAN PELABUHAN PERIKANAN SAMUDERA NIZAM ZACHMAN, MUARA BARU KEL.PENJARINGAN",,Swasta Kecil
Perusahaan Perseroan (Persero) Bank Negara Indonesia,JL daan mogot no 2-4.,,Negeri
PT. Arnott's Indonesia,Jl.H.Wahab Affan No.8 (Raya Bekasi Km.28) Kel.Medan Satria Kec.Medan Satria Kota Bekasi,,Swasta Besar
Darma Nusantara Raya,Jl. Raya Serang Km.9,,Swasta Kecil
Perusahaan Perseroan (Persero) Bank Negara Indonesia,"Jl. RS. Fatmawati Blok 115 DIII, Cilandak, Jakarta Selatan 12430, Indonesia",,Negeri
Perusahaan Perseroan (Persero) Bank Negara Indonesia,Jl. Pemuda No. 12 Medan,,Negeri
Perusahaan Perseroan (Persero) Bank Negara Indonesia,Jl. A Yani Km 34 No. 21-23 Kelurahan kemuning Kecamatan Banjarbaru Selatan Kode Pos 70714 Provinsi Kalimantan Selatan,,Negeri
PT Anvita Pharma Indonesia,Karawang New Industry City Block B no. 8. Jl Trans Heksa KM.7,,Swasta Besar
Dunia Boga Indonesia,"RUKO NORTHRIDGE BUSINESS CENTER BLOK B1/08, JL. BSD RAYA UTAMA",,Swasta Kecil
PT Bni (Persero) Tbk Cabang Univ. Gajah Mada,JL PERSATUAN NO.1 BULAKSUMUR DEPOK SLEMAN YOGYAKARTA,,Swasta Kecil
PT Bni (Persero) Tbk Kantor Cabang Renon,"JL RAYA PUPUTAN RENON NO 27, DENPASAR",,Swasta Kecil
Perusahaan Perseroan (Persero) Bank Negara Indonesia,Jl. A. Yani No 286 Lt.1-2,,Negeri
Perusahaan Perseroan (Persero) Bank Negara Indonesia,Jl. Jend. Sudirman No.49,,Negeri
Siantar Codes Academy,JL PURWO HUTA III - PERUMAHAN GRAHA VITA KARANGSARI,,Swasta Kecil
Jaminan Produk Halal Indonesia,JALAN KUSUMANEGARA NOMOR 284 B,,Swasta Kecil
Perusahaan Perseroan (Persero) Bank Negara Indonesia,Jl. A. Yani No.30,,Negeri
Solusi Karya Nusantara,Jalan Ar-Rahman Kavling Ar-rahman No A2,,Swasta Kecil
Perusahaan Perseroan (Persero) Bank Negara Indonesia,Jl. Soeprapto No. 27,,Negeri
PT Solarion Energi Alam,"CNI Creative Centre (C3) Lantai 2, Jl. Puri Indah Raya No.1-3, RT.3/RW.2, Kembangan Sel., Kec. Kembangan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta",,Swasta Kecil
PT. Homeware International Indonesia,"Jl. Prambanan-Piyungan KM 3,5 Bokoharjo, Prambanan, Sleman, Yogyakarta, 55572",,Swasta Besar
Perusahaan Perseroan (Persero) Bank Negara Indonesia,JL. Raya Laswi No. 215 Majalaya,,Negeri
Geolyra Energi Internasional,"THE MANHATTAN SQUARE BUILDING MID TOWER 12TH FLOOR
JL. T.B. SIMATUPANG KAV. 1-S",,Swasta Kecil
Arkadia Sinergi Indonesia,"Pondok Indah Office Tower 2, 15th Floor, Jalan Sultan Iskandar Muda Kavling V-TA",,Swasta Kecil
Altimeda Cipta Visitama,PURI DEPOK MAS BLOK N NOMOR 3,,Swasta Kecil
Bank Negara Indonesia Kebumen,"Jalan Pahlawan No. 140 Kebumen, Jawa Tengah",,Negeri
Perusahaan Perseroan (Persero) Bank Negara Indonesia,‎Jalan Pangeran Antasari No. 123 Kelurahan Raja Kecamatan Arut Selatan,,Negeri
PT. Sanbe Karyapersada,"Jl. Laksda Adisucipto No.38, Demangan, Gondokusuman, Yogyakarta",,Swasta Kecil
"PT. Bank Negara Indonesia (Persero) Tbk, Kantor Cabang Sorong",JALAN AHMAD YANI KLADEMAK 1 KOTA SORONG,,Negeri
Perusahaan Perseroan (Persero) Bank Negara Indonesia,Jl.Prabu Geusan Ulun No.113 Sumedang,,Negeri
Geo Desain Nusantara,"Jl. Murai No. 11, Besi",,Swasta Kecil
Indi Teknokreasi Internasional,"Jl. Pahlawan Revolusi No. 01 RT.006 RW.007, PONDOK BAMBU, DUREN SAWIT, JAKARTA TIMUR",,Swasta Kecil
Perkebunan Nusantara I,Kantor Direksi; Jl. Urip Sumoharjo No. 72-76 Km. 4,,Swasta Kecil
